id,tenderid,项目编号,项目名称,开标网址,参数抽取网址,参数抽取类型,project_type,投标单位数量,开标时间
F1BDFB98-580A-4157-9DF0-87FE7AA023E5,88A0DAA7-A8C8-4B13-8C9D-7FE21F2175D3,A3301060110508761001211,杭政工出【2023】9 号联东云谷生物医药制造基地项目监理,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=F1BDFB98-580A-4157-9DF0-87FE7AA023E5&tenderID=88A0DAA7-A8C8-4B13-8C9D-7FE21F2175D3&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=F1BDFB98-580A-4157-9DF0-87FE7AA023E5,1,监理项目,19,2023/10/30 9:00
E642999B-270B-484A-AB55-B37DFCB006AD,BF0355F5-A25A-4B16-93CC-774E176CD912,A3301850210508700001211,浙西天路户外圈-8300提升改造二期项目设计,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=E642999B-270B-484A-AB55-B37DFCB006AD&tenderID=BF0355F5-A25A-4B16-93CC-774E176CD912&ModuleID=486,,0,勘察设计,7,2023/10/30 9:00
CF2319B4-3230-4EBA-8500-38B5C7125260,98FBD5CF-BAE1-4961-88CF-A4D14D7AC89A,A3301850210508804001221,天竹园项目二期,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=CF2319B4-3230-4EBA-8500-38B5C7125260&tenderID=98FBD5CF-BAE1-4961-88CF-A4D14D7AC89A&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=CF2319B4-3230-4EBA-8500-38B5C7125260,1,施工项目,373,2023/10/30 9:00
C95F20ED-578A-4CE7-AD14-A37F1B0780A9,B83071A8-1CB6-481A-BBF2-7DE21BF18BEF,A3301110200508787001221,浙江中医药大学配套道路,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=C95F20ED-578A-4CE7-AD14-A37F1B0780A9&tenderID=B83071A8-1CB6-481A-BBF2-7DE21BF18BEF&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=C95F20ED-578A-4CE7-AD14-A37F1B0780A9,1,施工项目,284,2023/10/30 9:00
B013C34D-C92D-4A18-80F3-E2236F7C94C9,78C98D9D-13B5-4CB0-BEAB-CBC1045F2194,A3301010060400144001281,灯塔单元XC0704- R21/R22-11地块拆迁安置房景观绿化工程,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=B013C34D-C92D-4A18-80F3-E2236F7C94C9&tenderID=78C98D9D-13B5-4CB0-BEAB-CBC1045F2194&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=B013C34D-C92D-4A18-80F3-E2236F7C94C9,1,园林绿化项目,250,2023/10/30 9:00
41B09C5A-BC0C-468C-BFFA-EEDF2C1A2331,274e8cfd-291c-4097-ad19-3b89596d27e2,A3301090130980025001251,2023年度萧山区进化镇城山村等2村千亩方永久基本农田集中连片整治项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=41B09C5A-BC0C-468C-BFFA-EEDF2C1A2331&tenderID=274e8cfd-291c-4097-ad19-3b89596d27e2&ModuleID=486,,0,林水项目,240,2023/10/30 9:00
1AF429C1-2B37-4546-ADFB-D71DBD02D975,511635ED-00A4-4D36-B98E-65C133C65591,A3301110200508733001211,西富芯微纳光电智造生产线及研发中心项目（二期）监理,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=1AF429C1-2B37-4546-ADFB-D71DBD02D975&tenderID=511635ED-00A4-4D36-B98E-65C133C65591&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=1AF429C1-2B37-4546-ADFB-D71DBD02D975,1,监理项目,56,2023/10/30 9:00
92D4DB34-EF42-424D-9778-53C558A5DF41,172938fb-4204-4e8d-9159-260078ce8038,A3301270160980073001251,杭州市特别生态功能区共同富裕城乡供水设施工程（一期）--富溪供水站,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=92D4DB34-EF42-424D-9778-53C558A5DF41&tenderID=172938fb-4204-4e8d-9159-260078ce8038&ModuleID=486,,2,林水项目,145,2023/10/30 8:45
87F6FE1F-D635-40F5-B3DB-5F403DD7280F,15e6b4b5-3726-47a5-9b21-04cfc2392069,A3301270160980070001251,淳安县东源港流域综合治理工程-屏门乡区域流域综合治理工程（三标段）,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=87F6FE1F-D635-40F5-B3DB-5F403DD7280F&tenderID=15e6b4b5-3726-47a5-9b21-04cfc2392069&ModuleID=486,,0,林水项目,161,2023/10/30 8:45
A2E700E8-2016-4068-B88F-6CFBBD1658B4,20b52c5e-cfac-456a-8994-ac08b20e4e02,A3301270160280030001231,淳安县姜家镇郑唐线拓宽改造工程施工,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=A2E700E8-2016-4068-B88F-6CFBBD1658B4&tenderID=20b52c5e-cfac-456a-8994-ac08b20e4e02&ModuleID=486,,2,交通项目,299,2023/10/27 18:00
2FA0CBF8-3F93-45BE-AB64-A7BD0FD09AC6,7F9AB107-E798-4082-8C4E-490EA91B76E5,A3301060110508523001211,小和山单元XH1403-14地块公共租赁住房项目EPC总承包,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=2FA0CBF8-3F93-45BE-AB64-A7BD0FD09AC6&tenderID=7F9AB107-E798-4082-8C4E-490EA91B76E5&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=2FA0CBF8-3F93-45BE-AB64-A7BD0FD09AC6,1,建设工程,11,2023/10/27 16:00
C2D6C852-34E0-4E78-8D1C-D395EA916C4D,4EA280C4-1DE0-4663-94E6-F6E601D8EB2D,A3301080120508369001111,海康机器人产品产业化基地建设项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=C2D6C852-34E0-4E78-8D1C-D395EA916C4D&tenderID=4EA280C4-1DE0-4663-94E6-F6E601D8EB2D&ModuleID=486,,0,施工项目,16,2023/10/27 13:00
99725CE3-B223-4349-9BDE-52198925E2FA,1F59F489-BD2A-4940-B37A-8A614E4DFB79,A3301100140508562001211,闲林街道联荣02地块商业综合体项目地质勘察（一桩一勘）,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=99725CE3-B223-4349-9BDE-52198925E2FA&tenderID=1F59F489-BD2A-4940-B37A-8A614E4DFB79&ModuleID=486,,0,勘察设计,9,2023/10/27 12:00
1716DEAC-05CB-4DDB-9084-DCA9006FC181,F43F9F19-95D5-491A-95A3-BAFB384E7595,A3301060110508666001211,杭政工出【2023】7 号地块制造业项目EPC工程总承包,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=1716DEAC-05CB-4DDB-9084-DCA9006FC181&tenderID=F43F9F19-95D5-491A-95A3-BAFB384E7595&ModuleID=486,,0,建设工程,4,2023/10/27 12:00
2F760510-1A98-497A-B543-18255E2EF3E3,2DB8BB57-8629-4D5E-9660-38E547157E29,A3301300180508563001211,杭钱塘工出[2023]7号杭州中能汽轮动力有限公司节能降碳高效透平机械智造服务一体化产业基地项目EPC总承包,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=2F760510-1A98-497A-B543-18255E2EF3E3&tenderID=2DB8BB57-8629-4D5E-9660-38E547157E29&ModuleID=486,,0,建设工程,6,2023/10/27 11:00
11559E00-1CD4-4AB7-AE7D-42C3FA0B3E0F,1774358C-3304-4930-AA0D-6C83418847AE,A3301300180508656001211,高沙老小区改造工程二期南区块,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=11559E00-1CD4-4AB7-AE7D-42C3FA0B3E0F&tenderID=1774358C-3304-4930-AA0D-6C83418847AE&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=11559E00-1CD4-4AB7-AE7D-42C3FA0B3E0F,1,施工项目,68,2023/10/27 9:30
B2C2DBD5-DDFD-4570-9A4B-D19AB290C976,20b52c5e-cfac-456a-8994-ac08b20e4e02,A3301270160280030001231,淳安县姜家镇郑唐线拓宽改造工程施工,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=B2C2DBD5-DDFD-4570-9A4B-D19AB290C976&tenderID=20b52c5e-cfac-456a-8994-ac08b20e4e02&ModuleID=486,,2,交通项目,299,2023/10/27 18:00
8670AAC1-A067-425D-91FF-8C1039B73C54,59A9325B-BDE5-401B-8732-6FBDD1E3E711,A3301300180508730001211,浙江财经大学下沙校区学生生活组团（二期）,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=8670AAC1-A067-425D-91FF-8C1039B73C54&tenderID=59A9325B-BDE5-401B-8732-6FBDD1E3E711&ModuleID=486,,0,勘察设计,5,2023/10/26 14:30
EA7F9559-5911-4CC1-B852-30613CD758D5,2DB8BB57-8629-4D5E-9660-38E547157E29,A3301300180508563001211,杭钱塘工出[2023]7号杭州中能汽轮动力有限公司节能降碳高效透平机械智造服务一体化产业基地项目EPC总承包,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=EA7F9559-5911-4CC1-B852-30613CD758D5&tenderID=2DB8BB57-8629-4D5E-9660-38E547157E29&ModuleID=486,,0,建设工程,6,2023/10/27 11:00
2D701176-B473-4B1C-8159-0BBAAA0F6670,0FD00632-ECA7-4499-80BC-F4CBBD21A6B6,A3301131280508696001211,临平区公安、消防合成作战技术用房改扩建项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=2D701176-B473-4B1C-8159-0BBAAA0F6670&tenderID=0FD00632-ECA7-4499-80BC-F4CBBD21A6B6&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=2D701176-B473-4B1C-8159-0BBAAA0F6670,1,施工项目,1542,2023/10/26 14:00
24F132A3-9981-43A8-B213-78C7CA3C9A26,F9CBC007-F50B-4B6C-BD01-AA75EEED0B24,A3301090130508621001111,杭州大会展中心一期音视频系统集成工程,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=24F132A3-9981-43A8-B213-78C7CA3C9A26&tenderID=F9CBC007-F50B-4B6C-BD01-AA75EEED0B24&ModuleID=486,,0,施工项目,17,2023/10/26 14:00
237E15F4-331D-40D1-80E7-AA0107B7EE4F,A54F3487-E417-458C-994F-FA5AEA51D430,A3301131280508713001211,联胜九年一贯制学校项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=237E15F4-331D-40D1-80E7-AA0107B7EE4F&tenderID=A54F3487-E417-458C-994F-FA5AEA51D430&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=237E15F4-331D-40D1-80E7-AA0107B7EE4F,1,施工项目,628,2023/10/26 14:00
16AA3807-EA6C-4316-8AF8-CBC72EACF6C7,F43F9F19-95D5-491A-95A3-BAFB384E7595,A3301060110508666001211,杭政工出【2023】7 号地块制造业项目EPC工程总承包,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=16AA3807-EA6C-4316-8AF8-CBC72EACF6C7&tenderID=F43F9F19-95D5-491A-95A3-BAFB384E7595&ModuleID=486,,0,建设工程,4,2023/10/27 12:00
0ED7E86E-6066-4BD8-BBB5-21C2ECB1FFDA,1F59F489-BD2A-4940-B37A-8A614E4DFB79,A3301100140508562001211,闲林街道联荣02地块商业综合体项目地质勘察（一桩一勘）,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=0ED7E86E-6066-4BD8-BBB5-21C2ECB1FFDA&tenderID=1F59F489-BD2A-4940-B37A-8A614E4DFB79&ModuleID=486,,0,勘察设计,9,2023/10/27 12:00
F47679F8-6E8A-4F97-97CE-B4598146084F,46ea0729-8474-4bae-ba2d-9700be2ac27f,A3301090130280024001231,104国道杭州河庄至衙前段工程（萧山段）配套项目施工图设计,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=F47679F8-6E8A-4F97-97CE-B4598146084F&tenderID=46ea0729-8474-4bae-ba2d-9700be2ac27f&ModuleID=486,,0,交通项目,7,2023/10/26 12:00
80D72B13-9D0C-48EF-9348-92E17BFA481A,4EA280C4-1DE0-4663-94E6-F6E601D8EB2D,A3301080120508369001111,海康机器人产品产业化基地建设项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=80D72B13-9D0C-48EF-9348-92E17BFA481A&tenderID=4EA280C4-1DE0-4663-94E6-F6E601D8EB2D&ModuleID=486,,0,施工项目,16,2023/10/27 13:00
F4AC2E90-EC1E-4B90-BFA4-476ACE25098B,A7EBB230-9FDC-489A-927D-DBBE044CFBB7,A3301090130508670001211,浦南未来学校项目监理,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=F4AC2E90-EC1E-4B90-BFA4-476ACE25098B&tenderID=A7EBB230-9FDC-489A-927D-DBBE044CFBB7&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=F4AC2E90-EC1E-4B90-BFA4-476ACE25098B,1,监理项目,9,2023/10/26 9:00
1AA80A27-130C-49C8-9FBD-47840CDB94E1,05E2F8E6-9595-48FF-A90F-45CD17566374,A3301220150508534001221,桐庐县浮桥埠桐江技校地块配套道路工程-一标段,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=1AA80A27-130C-49C8-9FBD-47840CDB94E1&tenderID=05E2F8E6-9595-48FF-A90F-45CD17566374&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=1AA80A27-130C-49C8-9FBD-47840CDB94E1,1,施工项目,810,2023/10/26 9:00
5B091CF9-B4A4-499B-AEC7-B58782A528A7,80664AE5-DF84-4A3C-835F-732E83D69455,A3301300180508675001211,河庄街道5村村级留用地项目设计,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=5B091CF9-B4A4-499B-AEC7-B58782A528A7&tenderID=80664AE5-DF84-4A3C-835F-732E83D69455&ModuleID=486,,0,勘察设计,17,2023/10/25 14:30
224AA6B9-F09A-4E82-AF2D-ABAAE0468226,D5EDC1DA-9F35-4836-95CA-D039B7ABF395,A3301220150507665001291,富春江镇安置小区建设工程全过程代建,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=224AA6B9-F09A-4E82-AF2D-ABAAE0468226&tenderID=D5EDC1DA-9F35-4836-95CA-D039B7ABF395&ModuleID=486,,0,建设工程,9,2023/10/25 14:00
075A5D07-6AC5-43EE-B3A4-19734840F5E0,46ea0729-8474-4bae-ba2d-9700be2ac27f,A3301090130280024001231,104国道杭州河庄至衙前段工程（萧山段）配套项目施工图设计,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=075A5D07-6AC5-43EE-B3A4-19734840F5E0&tenderID=46ea0729-8474-4bae-ba2d-9700be2ac27f&ModuleID=486,,0,交通项目,7,2023/10/26 12:00
5B84244B-F680-4CB6-8C39-D37189426CE0,CC28E720-564A-48D8-90A5-FCC1EC6A9EBF,A3301110200508592001211,杭州富春湾智能物联科技有限公司智能物联设备研发及制造基地工程总承包项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=5B84244B-F680-4CB6-8C39-D37189426CE0&tenderID=CC28E720-564A-48D8-90A5-FCC1EC6A9EBF&ModuleID=486,,0,建设工程,5,2023/10/25 10:00
AEBB4EA3-A9A9-46D3-A532-19E59E3FA5DA,543D4E1D-A30A-4695-8C5A-770A1D08F731,A3301100140508503001211,浙(2020)余杭区不动产权第0013538号装饰装修项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=AEBB4EA3-A9A9-46D3-A532-19E59E3FA5DA&tenderID=543D4E1D-A30A-4695-8C5A-770A1D08F731&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=AEBB4EA3-A9A9-46D3-A532-19E59E3FA5DA,1,施工项目,234,2023/10/25 9:30
DA831B91-F023-4F8F-BDD5-D8CD3265CE7B,6CE1631D-7755-424E-82EE-917601D2C9E6,A3301090130508674001211,广元公寓整体维修和改造工程,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=DA831B91-F023-4F8F-BDD5-D8CD3265CE7B&tenderID=6CE1631D-7755-424E-82EE-917601D2C9E6&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=DA831B91-F023-4F8F-BDD5-D8CD3265CE7B,1,施工项目,1812,2023/10/25 9:00
0D800E63-1692-4AEA-8676-F5EAF3B8CDEB,1CA71E56-6E94-45EF-8CD1-E316C649BA8F,A3301820190508277001211,新安江森林公园提升工程--森林公园管理服务中心,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=0D800E63-1692-4AEA-8676-F5EAF3B8CDEB&tenderID=1CA71E56-6E94-45EF-8CD1-E316C649BA8F&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=0D800E63-1692-4AEA-8676-F5EAF3B8CDEB,1,施工项目,447,2023/10/25 8:45
5BD81BFD-F153-4082-AA5B-BED14F5BF562,2A434E90-2A5E-432F-A446-F447B5E6A1E1,A3301300180508577001211,杭钱塘工出[2023]11号钱塘芯科园二期EPC工程总承包,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=5BD81BFD-F153-4082-AA5B-BED14F5BF562&tenderID=2A434E90-2A5E-432F-A446-F447B5E6A1E1&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=5BD81BFD-F153-4082-AA5B-BED14F5BF562,1,建设工程,7,2023/10/25 11:00
EFA8B50F-EB70-48E0-B8B2-334E1EF17D02,1A2C4E43-F9CC-4905-A983-2420C0EC87EB,A3301131280508710001211,汀城小学工程,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=EFA8B50F-EB70-48E0-B8B2-334E1EF17D02&tenderID=1A2C4E43-F9CC-4905-A983-2420C0EC87EB&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=EFA8B50F-EB70-48E0-B8B2-334E1EF17D02,1,施工项目,61,2023/10/24 14:00
C6DA903F-EDF5-45EA-8DC6-EC968D5CCA75,7BB5D7EC-3894-440A-835E-40B0901A88B0,A3301131280508548001221,石坝社区多户多联公建配套工程,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=C6DA903F-EDF5-45EA-8DC6-EC968D5CCA75&tenderID=7BB5D7EC-3894-440A-835E-40B0901A88B0&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=C6DA903F-EDF5-45EA-8DC6-EC968D5CCA75,1,施工项目,885,2023/10/24 14:00
40C81785-95D7-4A52-8FE4-C0BE225C35DE,6231E64E-F26B-4348-A793-D82F8866F64B,A3301100140508636001211,径山副中心粮库三期项目,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=40C81785-95D7-4A52-8FE4-C0BE225C35DE&tenderID=6231E64E-F26B-4348-A793-D82F8866F64B&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=40C81785-95D7-4A52-8FE4-C0BE225C35DE,1,施工项目,495,2023/10/24 14:00
38FFF33D-0A88-44B3-8344-8F23AD799078,FC5A6E4B-C486-4EBD-847C-646A94F15404,A3301090130506299001213,浙江浙能电力股份有限公司萧山发电厂厂区4338kWp分布式光伏发电项目工程总承包（EPC）,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=38FFF33D-0A88-44B3-8344-8F23AD799078&tenderID=FC5A6E4B-C486-4EBD-847C-646A94F15404&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=38FFF33D-0A88-44B3-8344-8F23AD799078,1,建设工程,7,2023/10/24 14:00
69E4ED31-DC7E-4395-A253-69743A86D3F3,AC66E9FD-B3D2-4A2B-970C-BD3ACD8741A9,A3301010060508506001211,杭州花港望境酒店提升改造工程设计采购施工（EPC）总承包,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=69E4ED31-DC7E-4395-A253-69743A86D3F3&tenderID=AC66E9FD-B3D2-4A2B-970C-BD3ACD8741A9&ModuleID=486,,0,建设工程,7,2023/10/24 12:00
2D7A5EEC-CDE1-40E5-8888-39DCF71E2191,98F46387-47A4-4D9C-8635-C398EF018B21,A3301300180508166001211,江东二路南侧市级公租房项目EPC工程总承包,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=2D7A5EEC-CDE1-40E5-8888-39DCF71E2191&tenderID=98F46387-47A4-4D9C-8635-C398EF018B21&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=2D7A5EEC-CDE1-40E5-8888-39DCF71E2191,1,建设工程,7,2023/10/24 11:00
35582943-A833-436C-AB72-8AC5E712A6B4,20316605-84CC-408D-AB5C-FD01900577D4,A3301090130400013001281,杭州大会展中心周边小城镇环境综合整治项目三期景观改造工程,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/Index?id=35582943-A833-436C-AB72-8AC5E712A6B4&tenderID=20316605-84CC-408D-AB5C-FD01900577D4&ModuleID=486,https://ggzy.hzctc.hangzhou.gov.cn/OpenBidRecord/OpenParamInfo?openRecordListID=35582943-A833-436C-AB72-8AC5E712A6B4,1,园林绿化项目,109,2023/10/24 9:00
