项目名称,项目编号,开标时间,工程分类,是否联合体投标,资格审查方式,预算,备注,企业资质,人员资质,招标公告网址
溪畔未来社区提升改造项目,A3301060110508197001211,2023/9/14 9:00,房屋建筑,否,资格后审,755.2839,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=cd39e55f-4062-4921-8c0e-4fa6a5d418b3&IsInner=0&IsHistory=&ModuleID=22
文新街道桂花园社区香港城老旧小区提升改造项目,A3301060110508153001211,2023/9/14 9:00,房屋建筑,否,资格后审,1371.8776,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=40473fb5-3255-4a22-ab2d-fb240e1f341b&IsInner=0&IsHistory=&ModuleID=22
三墩镇政苑社区、同仁家园东西区未来社区提升改造项目EPC工程总承包,A3301060110508055001211,2023/9/25 9:15,房屋建筑,是,资格后审,2670.8415,,同时具备 设计综合类 甲级、施工总承包企业建筑工程(新) 三级 或者同时具备 设计专业类 建筑行业 丙级、施工总承包企业建筑工程(新) 三级 或者同时具备 施工总承包企业建筑工程(新) 三级、设计专业类 建筑行业 建筑工程 丙级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=efcea3f3-601f-4014-8eaf-96719f809efd&IsInner=0&IsHistory=&ModuleID=22
桐庐城乡供水一体化管网提升改造工程（一期）—城市扩网及部分农饮水改造项目（凤川、江南、新合、富春江片区）监理,A3301220150980043001251,2023/9/18 9:00,水利水电,否,资格后审,80.903,拟派驻本项目总监理工程师必须具有注册在投标人单位的中国水利工程协会(或水利部) 颁发的水利工程建设监理工程师资格证书，并具有水利工程相关专业中级工程师以上技术职称。,具备 水利工程施工监理 丙级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=1b5ad1b1-d8fd-4f72-b51c-fe4c542ac635&IsInner=0&IsHistory=&ModuleID=22
桐庐城乡供水一体化管网提升改造工程（一期）—城市扩网及部分农饮水改造项目（瑶琳、横村、莪山、钟山片区）监理,A3301220150980042001251,2023/9/15 9:00,水利水电,否,资格后审,80.903,拟派驻本项目总监理工程师必须具有注册在投标人单位的中国水利工程协会(或水利部) 颁发的水利工程建设监理工程师资格证书，并具有水利工程相关专业中级工程师以上技术职称。,具备 水利工程施工监理 丙级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=5015e25c-adc2-487e-8c83-d0d6904c3d21&IsInner=0&IsHistory=&ModuleID=22
闲林街道里项A-15地块公租房项目监理,A3301100140508177001211,2023/9/15 9:30,房屋建筑,否,资格后审,311.2837,,具备房屋建筑工程乙级或者具备综合,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=d441ff5d-bc5f-4316-821c-573b58e2c767&IsInner=0&IsHistory=&ModuleID=22
闲林街道里项A-15地块公租房项目,A3301100140508194001211,2023/9/22 9:30,房屋建筑,是,资格后审,24018.5314,,具备施工总承包企业建筑工程(新)三级,具备建筑工程一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=d9df2d8f-a82d-426d-abab-5e1936dcf182&IsInner=0&IsHistory=&ModuleID=22
杭政储出[2018]40号地块商业、商务兼容娱乐康体设施用房项目（剧场装修工程）,A3301010060508143001211,,房屋建筑,是,资格后审,1327.4244,投标单位须完成市场主体注册入库。,同时具备 专业承包企业建筑装修装饰工程(新) 二级、专业承包企业消防设施工程(新) 二级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=4b8d974c-9d94-487f-8e48-716ebac9fbf4&IsInner=0&IsHistory=&ModuleID=22
淳安县千岛珍珠学校工程（监理）,A3301270160508181001211,2023/9/13 8:45,房屋建筑,否,资格后审,285.25,拟派总监理工程师具有注册在投标人单位的房屋建筑工程国家注册监理工程师执业资格。,具备 房屋建筑工程 甲级 或者具备 综合无等级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=30d9848d-5d3f-4a81-830d-83f6a9cb2805&IsInner=0&IsHistory=&ModuleID=22
湘湖院士岛二期环境整治工程—拓展区块工程一期,A3301090130508111001211,2023/9/14 9:00,房屋建筑,否,资格后审,2681.1797,投标单位需完成市场主体注册入库。,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=341ee4fd-3add-488f-a669-93e69dcc5bae&IsInner=0&IsHistory=&ModuleID=22
新街街道新东名苑老旧小区改造工程EPC工程总承包,A3301090130508156001211,2023/9/25 9:30,房屋建筑,是,资格后审,2898.6392,投标单位需完成市场主体注册入库。,同时具备 设计综合类 甲级、施工总承包企业建筑工程(新) 三级 或者同时具备 设计专业类 建筑行业 甲级、施工总承包企业建筑工程(新) 三级 或者同时具备 设计专业类 建筑行业 建筑工程 甲级、施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=26ef4fff-9eea-4ae5-a4de-6df7c0fe4cc4&IsInner=0&IsHistory=&ModuleID=22
百井坊宋元遗址迁回保护工程,A3301050100507241001273,2023/9/14 9:30,文物保护,是,资格后审,2350.4646,（1）投标人须同时具有文物保护工程施工（古文化遗址古墓葬）二级及以上资质 &lt;br&gt;（2）项目负责人须同时具有文物保护施工责任工程师资格;投标保函在“宏云服务平台”（网址：https://jinfu.hongyun.zhonghongwang.com/，包括保险机构保证保险保单、融资担保公司保函、银行保函）开具，具体办理路径为：在“宏云服务平台”中“宏云金服”系统选择“投标保函”-“搜索项目”-“申请保函”。,同时具备 专业承包企业特种工程（特殊设备起重吊装）(新) 、专业承包企业特种工程（建筑物纠偏和平移）(新),具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=142bcc88-71f6-461e-994d-c85be19e074b&IsInner=0&IsHistory=&ModuleID=22
瓜沥镇国庆村文化礼堂,A3301090130508173001211,2023/9/13 9:00,房屋建筑,否,资格后审,614.4495,投标单位需完成市场主体注册入库。,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=49aad568-7120-4a7a-8cc2-8df0f299701b&IsInner=0&IsHistory=&ModuleID=22
中泰街道未来乡村示范带新泰村建设项目,A3301100140507639001211,2023/9/14 9:30,房屋建筑,否,资格后审,1050.9517,,具备 施工总承包企业建筑工程(新) 三级,具备 建筑工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=af3b680b-bff0-4c50-9b77-57d115dc21df&IsInner=0&IsHistory=&ModuleID=22
杭政储出〔2022〕81号地块商业商务用房项目监理,A3301020070508079001211,2023/9/13 9:30,房屋建筑,否,资格后审,312,1、投标单位须完成市场主体注册入库；2、金融服务平台电子保函办理：https://www.cyc-fund.com.cn/?areaCode=330102,具备 房屋建筑工程 甲级 或者具备 综合,具备 建筑工程,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=3b557552-1be3-4ca7-bc85-2daf1c42ecca&IsInner=0&IsHistory=&ModuleID=22
杭政工出【2023】1号白马湖实验室总部基地项目地质勘察（一桩一勘）,A3301080120508083001211,2023/9/14 9:15,房屋建筑,否,资格后审,180.8625,,具备 勘察综合类 甲级 或者具备 勘察专业类  岩土工程 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=9ae6605b-14de-4c90-83bc-9541d1d1e322&IsInner=0&IsHistory=&ModuleID=22
桐庐县X509分老线逐段提升改造工程,A3301220150280047001231,2023/9/12 9:00,公路(交通),否,资格后审,537.1072,,具备 施工总承包企业公路工程(新) 三级,具备 公路工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=81387c97-087b-4dd9-99a7-39b6c36d5c82&IsInner=0&IsHistory=&ModuleID=22
浙江图书馆旧址之孤山馆舍--红楼、白楼本体保护修缮,A3301010060507995001271,,文物保护,是,资格后审,546.2485,①投标人还需同时具备文物保护工程施工一级资质且业务范围必须包括近现代建筑维修保护内容；②项目负责人还需同时具有文物保护工程责任工程师证书（或项目负责人为两人，分别具有房屋建筑工程专业一级注册建造师和文物保护工程责任工程师证书）。且文物保护工程责任工程师的业务范围必须包括近现代建筑维修保护内容。;投标单位须完成市场主体注册入库。,具备 专业承包企业古建筑工程(新) 一级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=05f4ff5f-e7cf-428a-9286-fe4a26ec6dc9&IsInner=0&IsHistory=&ModuleID=22
景芳三堡单元JG1206-67地块、JG1207-39地块公交首末站工程设计,A3301010060508067001211,,房屋建筑,否,资格后审,131.38,投标单位须完成市场主体注册入库。,具备 设计专业类 建筑行业 建筑工程 丙级 或者具备 设计综合类 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=f5363dec-44a1-4422-8b6a-4e7c303d542b&IsInner=0&IsHistory=&ModuleID=22
留下街道杨家牌楼医学观察点、王家坞农居点等4个雨污分流工程-东穆坞农居点雨污分流工程,A3301060110508142001221,2023/9/13 9:00,市政公用,否,资格后审,677.1948,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=b877f544-68fe-4738-a3ce-fed8e83af9bb&IsInner=0&IsHistory=&ModuleID=22
仁和中心小学改扩建项目监理,A3301100140508141001211,2023/9/12 9:30,房屋建筑,否,资格后审,154.6061,,具备 综合 或者具备 房屋建筑工程 乙级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=67e2c615-1de8-4883-a466-d2d5edb30a7a&IsInner=0&IsHistory=&ModuleID=22
丁兰片5养护,A3301010060400140001281,2023/9/12 9:00,园林绿化,否,资格后审,311.144,投标单位须完成市场主体注册入库。,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=1b127b53-f91e-41ce-81df-6ceb4dfe56d4&IsInner=0&IsHistory=&ModuleID=22
南星绿地养护二标,A3301010060400138001281,2023/9/12 9:30,园林绿化,否,资格后审,774.0419,投标单位须完成市场主体注册入库。,,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=c4266632-ddba-4b68-ae94-89410dae0204&IsInner=0&IsHistory=&ModuleID=22
小河公园跨运河人行桥工程,A3301010060508178001121,,市政公用,否,资格预审,4771.3747,投标单位须完成市场主体注册入库。,具备 施工总承包企业市政公用工程(新) 一级,具备 市政公用工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=8742b91b-1f15-4e75-85b7-8abfb4baa8e9&IsInner=0&IsHistory=&ModuleID=22
桐庐城乡供水一体化管网提升改造工程（一期）—城市扩网及部分农饮水改造项目（横村镇）,A3301220150980041001251,2023/9/14 9:00,水利水电,否,资格后审,483.4891,,具备 施工总承包企业水利水电工程(新) 三级 或者具备 施工总承包企业市政公用工程(新) 三级,具备 水利水电工程 二级 或者具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=405734db-adce-4ecd-a511-99c83719eefd&IsInner=0&IsHistory=&ModuleID=22
桐庐城乡供水一体化管网提升改造工程（一期）—城市扩网及部分农饮水改造项目（新合乡）,A3301220150980040001251,2023/9/13 9:00,水利水电,否,资格后审,62.3786,,具备 施工总承包企业水利水电工程(新) 三级 或者具备 施工总承包企业市政公用工程(新) 三级,具备 水利水电工程 二级 或者具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=a93173f8-0719-4abd-95e1-5b4c2da63ea2&IsInner=0&IsHistory=&ModuleID=22
义桥镇山后村城中村改造安置房项目（东区）EPC工程总承包,A3301090130508158001211,2023/9/21 9:30,房屋建筑,是,资格后审,78165.0125,投标单位需完成市场主体注册入库。,同时具备 施工总承包企业建筑工程(新) 一级、设计综合类 甲级 或者同时具备 设计专业类 建筑行业 甲级、施工总承包企业建筑工程(新) 一级 或者同时具备 设计专业类 建筑行业 建筑工程 甲级、施工总承包企业建筑工程(新) 一级,具备 建筑工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=d0606fea-b6c5-437a-bcb4-ad586034bff9&IsInner=0&IsHistory=&ModuleID=22
常安镇小剡村公益性生态墓地（镇级壁葬区）,A3301110200508195001221,2023/9/12 9:00,市政公用,否,资格后审,488.5363,,具备 施工总承包企业市政公用工程(新) 三级,具备 市政公用工程 二级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=1c1eef47-d543-4768-ad9d-c7b26c127498&IsInner=0&IsHistory=&ModuleID=22
富春江镇装备制造产业园配套工程（七芝线）,A3301220150280046001231,2023/9/11 10:30,公路(交通),否,资格后审,4106.967,,具备 施工总承包企业公路工程(新) 三级,具备 交通工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=64045064-5bce-4cab-95c4-41318eb177eb&IsInner=0&IsHistory=&ModuleID=22
采荷单元碑亭路（杭海路-秋涛路）道路整治工程,A3301020070508027001221,2023/9/12 9:30,市政公用,否,资格后审,2524.1735,1、投标单位须完成市场主体注册入库；2、金融服务平台电子保函办理：https://www.cyc-fund.com.cn/?areaCode=330102,具备 施工总承包企业市政公用工程(新) 二级,具备 市政公用工程 一级,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=86e96f36-14dc-494d-91b3-48d65e04b220&IsInner=0&IsHistory=&ModuleID=22
浦南未来社区安置房项目监理,A3301090130508139001211,2023/9/13 14:00,房屋建筑,否,资格后审,517.6,投标单位需完成市场主体注册入库。,具备 房屋建筑工程 乙级 或者具备 综合,具备 建筑工程,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=6af99cf9-2dff-4164-a101-a92017c6f252&IsInner=0&IsHistory=&ModuleID=22
杨家墩街（西浦路-浦沿路）工程设计,A3301080120508176001221,2023/9/13 9:30,市政公用,否,资格后审,63.435,,具备 设计综合类 甲级 或者同时具备 设计专业类  市政公用行业 道路工程设计 丙级、设计专业类 市政公用行业 排水工程设计 甲级、设计专业类 市政公用行业 桥梁工程 乙级 或者具备 设计专业类 市政行业（燃气工程、轨道交通工程除外）  甲级 或者具备 设计专业类 市政公用行业 甲级,,https://ggzy.hzctc.hangzhou.gov.cn/AfficheShow/Home?AfficheID=0201f3e9-9bb6-40c7-84aa-6c63b723aeff&IsInner=0&IsHistory=&ModuleID=22
